run_id,timestamp,git_commit,device,experiment,model,loss,alpha,corr_threshold,seed,fold,val_users,n_params,n_train_windows,epochs,train_mse,train_pearson,train_loss,minutes_train,resumed,score_macro,score_micro,score_std,n_sessions,n_negative,minutes_score,test_ghij_macro
ds_tcn_c64_k5_n4_none_do0.2_dpel_mse_pearson_a0_corr0.9_seed0,,b6829a5,,tn4,ds_tcn,mse_pearson,0.0,0.9,0,,,38105,292708,20,0.4883630077326511,0.6233829291342751,0.37661707092436525,11.36,0,0.8058321666927866,0.8012379874218405,,537,21,7.84,0.8058321666927866
ds_tcn_c64_k5_n4_none_do0.2_dpel_mse_corr0.9_seed0,,b6829a5,,tn4,ds_tcn,mse,1.0,0.9,0,,,38105,292708,20,0.02193487295432967,0.5982527678183296,0.02193487295432967,10.05,0,0.7814482638746398,0.7759019428211439,,537,28,7.81,0.7814482638746398
ds_tcn_c64_k5_n4_none_do0.2_dpel_mse_pearson_a0_corr0.9_seed1,,b6829a5,,tn4,ds_tcn,mse_pearson,0.0,0.9,1,,,38105,292708,20,0.6263173300663769,0.623680218174617,0.37631978183841414,11.03,0,0.7903766561668406,0.7848007831155248,,537,27,7.89,0.7903766561668406
ds_tcn_c64_k5_n4_none_do0.2_dpel_mse_corr0.9_seed1,,b6829a5,,tn4,ds_tcn,mse,1.0,0.9,1,,,38105,292708,20,0.02175656356431371,0.6015571970044654,0.02175656356431371,10.16,0,0.7660257553242346,0.7599137579488737,,537,33,7.98,0.7660257553242346
ds_tcn_c64_k5_n4_none_do0.2_dpel_mse_pearson_a0_corr0.9_seed2,,b6829a5,,tn4,ds_tcn,mse_pearson,0.0,0.9,2,,,38105,292708,20,0.5717973427502516,0.6222493935801549,0.3777506064002984,11.11,0,0.8090095693935697,0.8044968742055226,,537,23,7.85,0.8090095693935697
ds_tcn_c64_k5_n4_none_do0.2_dpel_mse_corr0.9_seed2,,b6829a5,,tn4,ds_tcn,mse,1.0,0.9,2,,,38105,292708,20,0.022005756440701532,0.60045162273329,0.022005756440701532,10.04,0,0.739099121630924,0.7320807757999198,,537,40,7.85,0.739099121630924
ds_tcn_c64_k3_n4_none_do0.2_dpel_mse_pearson_a0.6_corr0.9_seed0,,bf1ac10,,tn4,ds_tcn,mse_pearson,0.6,0.9,0,,,37081,292708,20,0.027872378869689952,0.6095647798272059,0.17289751878714374,11.54,0,0.7869056046079445,0.7809111894039147,,537,27,8.59,0.7869056046079445
ds_tcn_c64_k3_n4_none_do0.2_dpel_mse_pearson_a0.6_corr0.9_seed1,,bf1ac10,,tn4,ds_tcn,mse_pearson,0.6,0.9,1,,,37081,292708,20,0.026832816236015942,0.6109913350076825,0.17170315915429546,11.4,0,0.817114654825221,0.8124867951696622,,537,20,8.22,0.817114654825221
ds_tcn_c64_k3_n4_none_do0.2_dpel_mse_pearson_a0.6_corr0.9_seed2,,bf1ac10,,tn4,ds_tcn,mse_pearson,0.6,0.9,2,,,37081,292708,20,0.02735366112099342,0.6088174095529628,0.17288523629653074,11.26,0,0.8067505262783725,0.8015468083744389,,537,23,8.28,0.8067505262783725
lstm_mse_corr0.9_seed0,2026-09-04 15:46,490027e,,tn4,lstm,mse,1.0,0.9,0,,,1502713,292708,20,0.01379571188859003,0.6797964321991008,0.01379571188859003,22.22,0,0.799989439252651,0.7942113439357797,,537,26,9.7,
lstm_mse_corr0.9_seed1,2026-09-04 16:18,490027e,,tn4,lstm,mse,1.0,0.9,1,,,1502713,292708,20,0.013713242495994466,0.6815777694391902,0.013713242495994466,22.27,0,0.8029091326817184,0.7976827942533619,,537,21,9.81,
lstm_mse_corr0.9_seed2,2026-09-04 16:50,490027e,,tn4,lstm,mse,1.0,0.9,2,,,1502713,292708,20,0.014011717803070136,0.6772696323331183,0.014011717803070136,22.19,0,0.8280070963788093,0.8240325007774568,,537,17,9.69,
